CRE_NAME	NAME	GENERIC_TYPE	SPECIFIC_TYPE
demabi01	68104	abishai			-
abisred1	68104	abishai			-
sudemon		2354	nabassu			-
sudemon2	2354	nabassu			-
sudemw1		2354	nabassu			-
balor01		2354	nabassu			-
gortan1		64049	balor			tahazzar
udbalor		2354	nabassu			-
enddem03	2354	nabassu			-
obsdem01	2354	nabassu			-
uddemon		8452	balor			ldemlord
demlord		8452	balor			ldemlord
demosum2	2354	nabassu			-
dembal01	2354	nabassu			-
dembal02	2354	nabassu			-
melsum04	2354	nabassu			-
jondem02	2354	nabassu			-
jondem04	2354	nabassu			-
telbal1		2354	nabassu			telbal1
telbal2		2354	nabassu			-
gordem		2354	nabassu			-
gordemc1	2354	nabassu			-
telcor1		68099	cornugon		-
demcor01    68099	cornugon		-
gorbat3		68099	cornugon		-
gordemc1	2354	nabassu			-
teltan1		2354	nabassu			-
teltan2		2354	nabassu			-
teltan1		2354	nabassu			-
demgla01	2354	nabassu			-
demglab		2354	nabassu			-
demglab2	2354	nabassu			-
dglab01		2354	nabassu			-
enddem01	2354	nabassu			-
enddem02	2354	nabassu			-
demosum3	38955	glabrezu		-
melsum01	2354	nabassu			-
jondem01	2354	nabassu			-
jondem03	2354	nabassu			-
jondem05	2354	nabassu			-
gorwom03	70940	marilith		ytossi
demosum1	2315	marilith		-
melsum05	2315	marilith		-
rumar02		38955	glabrezu		-
demnab01	2315	marilith		-
demnab02	2315	marilith		-
sumtan01	38955	glabrezu		-
sumtan02	38955	glabrezu		-
abydem01	38955	glabrezu		-
tanari01	38955	glabrezu		-
sudemw1		38822	nabassu			-
udnaba		2315	marilith		-
enddem04	38955	glabrezu		-
enddem05	38955	glabrezu		-
obsdem05	38955	glabrezu		-
finnabas	38955	glabrezu		-
dempit		68104	abishai			-
dempit01	68104	abishai			-
telpit1		68099	cornugon		telpit1
telpit2		68099	cornugon		-
gorbat1		64044	pitfiend		karashur

imp01		35009	imp				-
impqua01	35030	quasit			-
obsdem02	33171	mane			-
obsdem04	2154	maurezhi		-
gordem2		70664	velithuu		-
